Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
SULAWESI TENGGARA,BUTON UTARA,7409,8467,1368
SULAWESI TENGGARA,KOLAKA,7404,15203,3839
SULAWESI TENGGARA,KOLAKA TIMUR,7411,9577,2243
SULAWESI TENGGARA,KOLAKA UTARA,7408,16714,4308
SULAWESI TENGGARA,KONAWE,7403,22710,5648
SULAWESI TENGGARA,KONAWE KEPULAUAN,7412,6065,1194
SULAWESI TENGGARA,KONAWE SELATAN,7405,26001,6260
SULAWESI TENGGARA,KONAWE UTARA,7410,7539,1539
SULAWESI TENGGARA,KOTA BAUBAU,7472,15426,2611
SULAWESI TENGGARA,KOTA KENDARI,7471,21763,3794
SULAWESI TENGGARA,MUNA,7402,30504,5643
SULAWESI TENGGARA,MUNA BARAT,7413,12707,2802
SULAWESI TENGGARA,WAKATOBI,7407,9901,1889
SULAWESI UTARA,BOLAANG MONGONDOW,7101,23970,5738
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,7110,6593,1403
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,7111,4680,1118
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,7107,7415,1322
SULAWESI UTARA,KEPULAUAN SANGIHE,7103,8172,2510
SULAWESI UTARA,KEPULAUAN TALAUD,7104,8572,1398
SULAWESI UTARA,KOTA BITUNG,7172,12228,2693
SULAWESI UTARA,KOTA MANADO,7171,18293,3874
SULAWESI UTARA,KOTA TOMOHON,7173,6557,1041
SULAWESI UTARA,KOTAMOBAGU,7174,7584,1571
SULAWESI UTARA,MINAHASA,7102,21120,3817
SULAWESI UTARA,MINAHASA SELATAN,7105,23334,4075
SULAWESI UTARA,MINAHASA TENGGARA,7109,8976,1783
SULAWESI UTARA,MINAHASA UTARA,7106,15912,3577
SULAWESI UTARA,SIAU TAGULANDANG BIARO,7108,2360,539
SUMATERA BARAT,AGAM,1307,26543,4772
SUMATERA BARAT,DHARMASRAYA,1311,7112,2210
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,11204,4209
SUMATERA BARAT,KOTA BUKITTINGGI,1375,4764,731
SUMATERA BARAT,KOTA PADANG,1371,53177,8711
SUMATERA BARAT,KOTA PADANG PANJANG,1374,2336,438
SUMATERA BARAT,KOTA PARIAMAN,1377,6429,796
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,8013,1124
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,1610,344
SUMATERA BARAT,KOTA SOLOK,1372,3333,521
SUMATERA BARAT,LIMA PULUH KOTA,1308,30540,5967
SUMATERA BARAT,PADANG PARIAMAN,1306,36901,6299
SUMATERA BARAT,PASAMAN,1309,30968,7194
SUMATERA BARAT,PASAMAN BARAT,1312,42602,9398
SUMATERA BARAT,PESISIR SELATAN,1302,49455,8151
SUMATERA BARAT,SIJUNJUNG,1304,12903,3355
SUMATERA BARAT,SOLOK,1303,37100,7767
SUMATERA BARAT,SOLOK SELATAN,1310,12856,2393
SUMATERA BARAT,TANAH DATAR,1305,24023,4143
SUMATERA SELATAN,BANYU ASIN,1607,66342,23949
SUMATERA SELATAN,EMPAT LAWANG,1611,18994,4520
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,11296,2902
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,8020,1752
SUMATERA SELATAN,KOTA PALEMBANG,1671,89135,18368
SUMATERA SELATAN,KOTA PRABUMULIH,1672,9807,2192
SUMATERA SELATAN,LAHAT,1604,34270,6273
SUMATERA SELATAN,MUARA ENIM,1603,49443,12699
SUMATERA SELATAN,MUSI BANYUASIN,1606,42462,11011
SUMATERA SELATAN,MUSI RAWAS,1605,30363,8824
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,14186,4033
SUMATERA SELATAN,OGAN ILIR,1610,37194,11192
