Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
SUMATERA BARAT,PASAMAN,18425,2334,4728
SUMATERA BARAT,PASAMAN BARAT,35803,1757,2471
SUMATERA BARAT,PESISIR SELATAN,33851,1122,3028
SUMATERA BARAT,SIJUNJUNG,9890,287,1838
SUMATERA BARAT,SOLOK,24394,1899,3753
SUMATERA BARAT,SOLOK SELATAN,7366,1110,857
SUMATERA BARAT,TANAH DATAR,18114,251,1616
SUMATERA BARAT,TOTAL,11945,33406,0
SUMATERA SELATAN,BANYU ASIN,70146,6276,6133
SUMATERA SELATAN,EMPAT LAWANG,19635,208,2528
SUMATERA SELATAN,KOTA LUBUKLINGGAU,11490,103,271
SUMATERA SELATAN,KOTA PAGAR ALAM,9121,65,224
SUMATERA SELATAN,KOTA PALEMBANG,87642,1878,820
SUMATERA SELATAN,KOTA PRABUMULIH,10514,38,299
SUMATERA SELATAN,LAHAT,35392,509,1771
